sample_id,comment_id,video_id,parent_id,text,pass_1_label,confidence_1,notes_1,pass_2_label,confidence_2,notes_2,target_boundary_category,adjudicated_label,adjudication_status
CALIB_001,UgxqF6laBteOv_yRLc54AaABAg,5Zi4qGpGop4,,Bagaimana keadaan bumi jika nabi adam tidak di turunkan k bumi?,Question,High,Tulus bertanya sains,Question,High,Pertanyaan skenario Adam,Genuine_Scientific_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_002,UgjkR1w89evQF3gCoAEC,iyJeozHhvJI,,"Bang kobi apa itu persekusi #request
",Suggestion,High,Request topik persekusi,Suggestion,High,Request topik persekusi,Implicit_Suggestion,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_003,UghSjqjL29hNQHgCoAEC,iq0yOkj3d28,,sorry gan.. gw mau tanya dong. gw kmrn liat d youtube konspirasi bumi datar itu hoax apa sesat apa gmn ya?,Question,High,Mencari klarifikasi hoax bumi datar,Question,High,Mencari penjelasan konspirasi,Hard_Disagreement_Skepticism,Question,AUTO_RESOLVED_CONSISTENT
CALIB_004,UgySYoDvL2j9l2oYQ054AaABAg.8xgVGSY5FpP96ycg1RK6xU,t5SaFgSaM_M,UgySYoDvL2j9l2oYQ054AaABAg,Setuju banget bang,Agreement,High,Afirmasi persetujuan eksplisit,Agreement,High,Afirmasi sepakat,Explicit_Agreement_vs_Opinion,Agreement,AUTO_RESOLVED_CONSISTENT
CALIB_005,UgxZXwRVZb3vAcJrqIF4AaABAg.8tcHO5VU63h8tdjxT4h2BA,impJiSfof9E,UgxZXwRVZb3vAcJrqIF4AaABAg,Bener banget boy Hahaa,Agreement,High,Afirmasi persetujuan eksplisit,Agreement,High,Persetujuan eksplisit,Explicit_Agreement_vs_Opinion,Agreement,AUTO_RESOLVED_CONSISTENT
CALIB_006,UghwWoIf1oAy63gCoAEC,YljSXjd4lnk,,2:34 itu yang tengah bukan jet tapi turbofan,Correction,High,Ralat faktual menit 2:34 turbofan,Correction,High,Koreksi fakta turbofan,Correction_vs_Disagreement,Correction,AUTO_RESOLVED_CONSISTENT
CALIB_007,UgzH6m5XNBi22i7iRvB4AaABAg,QK01ROEqJ1A,,"Dulu... suka banget kalo ada yang bahas soal antariksa. Tapi setelah mengenal FE, cuma bisa bilang oh aja. Wallahualam.",Experience,Medium,Menceritakan perubahan pandangan masa lalu,Opinion,Medium,Pandangan subjektif soal antariksa,Praise_Plus_Correction,Experience,ADJUDICATED_MANUAL
CALIB_008,Ughmg5jUO7UFi3gCoAEC,2EVv7dmTFik,,kenapa definisi jihad berubah? Kalo dulu berjuang di jalan allah. Kalo sekarang aksi terrorisme?,Question,High,Pertanyaan kritis definisi,Question,High,Pertanyaan perubahan istilah,Genuine_Scientific_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_009,Ugwe0ZmKTC17tXI-Ck94AaABAg,dghOCZmSEUQ,,Kalo udah mimpi kita suka lupa kenapa??,Question,High,Pertanyaan tulus sains,Question,High,Pertanyaan fenomena mimpi,Praise_Plus_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_010,UgxA46JuE55_o_IB96d4AaABAg,qis44fqpuAU,,Kok bisa Api ASIAN GAMES disebut sbg Api Abadi? Emang nya ga bisa mati? Tolong jelaskan dong.. tanpa ada gambar baksonya ya,Question,High,Pertanyaan tulus api abadi,Question,High,Pertanyaan api abadi,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_011,UgzXCeq3U-CmGjcVDVh4AaABAg.9RFus7knc0i9RPv6jwd2_g,iq0yOkj3d28,UgzXCeq3U-CmGjcVDVh4AaABAg,"@heheheboy1425 nah itu gua gak suka gravitasi. Bumi berputar tapi air dan seisi yang dipermukaan bumi gak tumpah katanya ada gravitasi? Sedangkan heli kopter dengan kekuatan baling"" bisa naik keatas gravitasi gak bisa narik. Makanya kalo menurut gue gravitasi ga ada",Disagreement,High,Sanggahan teori gravitasi,Disagreement,High,Menolak eksistensi gravitasi,Praise_Plus_Question,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_012,UgwV_EA-RZYgfDA35ux4AaABAg,21seK8tKSYI,,Menit 1.10 suara vacumnya dark seer anjir wwkwwk . Anak dota pasti tau,Opinion,Medium,Pengamatan audio game menit 1:10,Correction,Low,Mengoreksi asal suara game,Correction_vs_Disagreement,Correction,ADJUDICATED_MANUAL
CALIB_013,Ugx9jUGIuW5u2qui0dZ4AaABAg.8tfRn1yWZnJ8zxe6v7Zqpk,impJiSfof9E,Ugx9jUGIuW5u2qui0dZ4AaABAg,berati flet ert itu bneran atau hoax jg sih....ktanya jgn prcaya nasa krna nnti jd kapir..,Question,Medium,Pertanyaan klarifikasi FE,Question,High,Bertanya kebenaran FE,Hard_Disagreement_Skepticism,Question,AUTO_RESOLVED_CONSISTENT
CALIB_014,UgzmROOkK7wcbS2ol8J4AaABAg,QK01ROEqJ1A,,"gabisa ngomong apa apa lagi (speechless), gimana caranya channel ini bikin konten kaya gini? pasti butuh ilmu yang banyak. wajar jadi trending, malah harusnya jadi trending nomer 1. WAJIB DI SUBSCRIBE",Praise,High,Pujian dan apresiasi channel,Praise,High,Pujian kualitas channel,Correction_vs_Disagreement,Praise,AUTO_RESOLVED_CONSISTENT
CALIB_015,Ugw3WS5wXhHqa9vqcBd4AaABAg.9u7DC58PJ_lALHQ12_T97n,YxgOhIQJX3Q,Ugw3WS5wXhHqa9vqcBd4AaABAg,karena udh ikonik dari zaman Majapahit.dulu lucu sekarang udh usang menurut saya,Opinion,High,Evaluasi pandangan pribadi,Opinion,High,Penilaian pribadi,Philosophical_General_Opinion,Opinion,AUTO_RESOLVED_CONSISTENT
