sample_id,comment_id,video_id,parent_id,text,target_boundary_category,human_annotator_1,human_annotator_2,adjudicated_label,confidence_1,confidence_2,notes_1,notes_2
CALIB_001,UgxqF6laBteOv_yRLc54AaABAg,5Zi4qGpGop4,,Bagaimana keadaan bumi jika nabi adam tidak di turunkan k bumi?,Genuine_Scientific_Question,Question,Question,Question,High,High,Tulus bertanya sains,Pertanyaan skenario Adam
CALIB_002,UgjkR1w89evQF3gCoAEC,iyJeozHhvJI,,"Bang kobi apa itu persekusi #request
",Implicit_Suggestion,Suggestion,Suggestion,Suggestion,High,High,Request topik persekusi,Request topik persekusi
CALIB_003,UghSjqjL29hNQHgCoAEC,iq0yOkj3d28,,sorry gan.. gw mau tanya dong. gw kmrn liat d youtube konspirasi bumi datar itu hoax apa sesat apa gmn ya?,Hard_Disagreement_Skepticism,Question,Question,Question,High,High,Mencari klarifikasi hoax bumi datar,Mencari penjelasan konspirasi
CALIB_004,UgySYoDvL2j9l2oYQ054AaABAg.8xgVGSY5FpP96ycg1RK6xU,t5SaFgSaM_M,UgySYoDvL2j9l2oYQ054AaABAg,Setuju banget bang,Explicit_Agreement_vs_Opinion,Agreement,Agreement,Agreement,High,High,Afirmasi persetujuan eksplisit,Afirmasi sepakat
CALIB_005,UgxZXwRVZb3vAcJrqIF4AaABAg.8tcHO5VU63h8tdjxT4h2BA,impJiSfof9E,UgxZXwRVZb3vAcJrqIF4AaABAg,Bener banget boy Hahaa,Explicit_Agreement_vs_Opinion,Agreement,Agreement,Agreement,High,High,Afirmasi persetujuan eksplisit,Persetujuan eksplisit
CALIB_006,UghwWoIf1oAy63gCoAEC,YljSXjd4lnk,,2:34 itu yang tengah bukan jet tapi turbofan,Correction_vs_Disagreement,Correction,Correction,Correction,High,High,Ralat faktual menit 2:34 turbofan,Koreksi fakta turbofan
CALIB_007,UgzH6m5XNBi22i7iRvB4AaABAg,QK01ROEqJ1A,,"Dulu... suka banget kalo ada yang bahas soal antariksa. Tapi setelah mengenal FE, cuma bisa bilang oh aja. Wallahualam.",Praise_Plus_Correction,Experience,Opinion,,Medium,Medium,Menceritakan perubahan pandangan masa lalu,Pandangan subjektif soal antariksa
CALIB_008,Ughmg5jUO7UFi3gCoAEC,2EVv7dmTFik,,kenapa definisi jihad berubah? Kalo dulu berjuang di jalan allah. Kalo sekarang aksi terrorisme?,Genuine_Scientific_Question,Question,Question,Question,High,High,Pertanyaan kritis definisi,Pertanyaan perubahan istilah
CALIB_009,Ugwe0ZmKTC17tXI-Ck94AaABAg,dghOCZmSEUQ,,Kalo udah mimpi kita suka lupa kenapa??,Praise_Plus_Question,Question,Question,Question,High,High,Pertanyaan tulus sains,Pertanyaan fenomena mimpi
CALIB_010,UgxA46JuE55_o_IB96d4AaABAg,qis44fqpuAU,,Kok bisa Api ASIAN GAMES disebut sbg Api Abadi? Emang nya ga bisa mati? Tolong jelaskan dong.. tanpa ada gambar baksonya ya,Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan tulus api abadi,Pertanyaan api abadi
