comment_id,video_id,parent_id,split,text,predicted_discourse_act,human_annotator_1,human_annotator_2,adjudicated_label,annotation_confidence,ambiguity_reason,off_topic_flag,annotation_notes
UgwpxEf9mpyUoXukunR4AaABAg,uA3cMFjqfaM,TOP_LEVEL,train,Entar pas dah di mars... dicemari lagi dah 🤔,Opinion,,,,,,,
UgwTEiYx6Nd9RlIL1KV4AaABAg.97XbCnTyS7E98d3q0UnsUJ,QK01ROEqJ1A,UgwTEiYx6Nd9RlIL1KV4AaABAg,train,Ada ilmu sains ka? Ko belajar universiti mana ambik jurusan apa?,Question,,,,,,,
Ugx9ENdFXlUPzWuJybV4AaABAg,5_9wU8yJZ8w,TOP_LEVEL,val,yang ga pernah naik pesawat like:v,Experience,,,,,,,
Ugz251cHYahk7tnlOL14AaABAg.9ffsPNr079W9geUcCcZiHU,21seK8tKSYI,Ugz251cHYahk7tnlOL14AaABAg,test,"@mujitoanam3349 tetap saja point² sampeyan lompat lompat dengan bahasa yang kacau, tidak ada bukti kuat mendukung dan argumen anda mentok di ""nasa bohong,nasa atheis blablabla""   Ada bukti kuat gak? Jangan pake ""bukti"" yang masih dipertanyakan dong, cari yang valid",Question,,,,,,,
Ugzdh5J632TYi_4iAKN4AaABAg,5Zi4qGpGop4,TOP_LEVEL,train,Gua Denger² Katanya Bulan Menjauh 3cm Pertahun. Iyakah Min?,Question,,,,,,,
Ugw39tgtuGgoG6aKieB4AaABAg,5Zi4qGpGop4,TOP_LEVEL,train,Dari bakso,Opinion,,,,,,,
UgwCfSLn4bf3upOxHwJ4AaABAg,5_9wU8yJZ8w,TOP_LEVEL,val,Pak Mau nanya Kalo orang amnesia kenapa bisa ngerti bahasanya sendiri?,Question,,,,,,,
UgxNOxv3HPNxZPe0lbd4AaABAg,QK01ROEqJ1A,TOP_LEVEL,train,Besaran tengen toppa gurren laggan,Opinion,,,,,,,
UgyNZZ6Ksyvi6cp89j14AaABAg.8zQ_-hdcbv48zRo1rEGKy7,QK01ROEqJ1A,UgyNZZ6Ksyvi6cp89j14AaABAg,train,"Ilmuan membuat banyak peralatan antariksa., seperti saltelit antariksa yang dapat mengukur alam semesta hingga jutaan tahun cahaya, teropong raksaksa cahaya, parabola raksaksa penangkap gelombang cahaya, dan masih banyak lagi yang lain., dari itulah para ilmuan memetakan alam semesta yang sangat kompleks ini., dan mereka sudah meneliti dari ribuan tahun lamanya bro",Opinion,,,,,,,
UgzyysoZDUu0BLytdD14AaABAg.8t7JvplSB988yaL-J1Y1si,FjFsx6iQE3Y,UgzyysoZDUu0BLytdD14AaABAg,train,Sebelom lautan yg sangat sangat sangat luas ada kehidupan Spongebob,Opinion,,,,,,,
UgzSf5TEO9A68lEOmMB4AaABAg,Beod6J0genE,TOP_LEVEL,val,Kobi bilek:alamak mahalnya,Opinion,,,,,,,
UgyKnNPQ1CT2QsByPNt4AaABAg,QK01ROEqJ1A,TOP_LEVEL,train,Bumi datar apa kabar 🤣,Opinion,,,,,,,
UgwQQawU8oHVkb6WRvV4AaABAg,impJiSfof9E,TOP_LEVEL,train,Cocoknya di rekam kamera.,Opinion,,,,,,,
UggFkdCaioRJ7ngCoAEC.8Fb6yCjIgTs8FeER3VtjvK,NVDIHTGVcLc,UggFkdCaioRJ7ngCoAEC,val,apa kalian tau artinya big bang?? setau saya itu artinya LEDAKAN SUPER MEGA MEGA MEGA MEGA MEGA MEGA MEGA MEGA MEGA BESSAARRR!!!!!@,Question,,,,,,,
UgwPJ19xXNwCyCU41Th4AaABAg,T8g_hUpx9VU,TOP_LEVEL,val,Next : apa benda yang paling dingin ?,Question,,,,,,,
UghzQGSwp2sUU3gCoAEC.8AfDhQcj8oc8BFbM8ZBqUq,H_5TPzquRyo,UghzQGSwp2sUU3gCoAEC,test,"+Garuda Pelajar Sangat disayangkan masih banyak rakyat Indonesia yang lebih percaya dengan hal mistis daripada kepadtian dalam Ilmu Sains. Yang berpikir bahwa kepercayaan adalah solusi dari segalanya dan masalah yang ada disekitar mereka dapat diperbaiki dalam bentuk mantra maupun kata-kata. Dan orang-orang sangatlah tidak menerima Fakta-fakta ilmu pengetahuan. Yang menggunakan alasan 'teori hanya sebuah teori' yang berawalan teori itu tidak pasti. Mari kita tidak sebut namanya, namun ada banyak ketua sebuah organisasi agama yang secara besar tidak setuju dengan evolusi. Evolusi adalah suatu kepastian, suatu fakta alam yang didukung oleh banyak bukti-bukti fisik maupun historikal yang ada.   Anda adalah seorang yang cemerlang, dan saya yakin memiliki pengertian lebih dari beberapa orang yang ada di comment section ini. Kalau boleh tahu, apakah anggapan kamu terhadap evolusi? Yakin? Mengapa? Tidak yakin? Mengapa?",Question,,,,,,,
UgwGjArdmjcz4fpkOy54AaABAg,impJiSfof9E,TOP_LEVEL,train,masih menunggu planet lain yang layak huni,Opinion,,,,,,,
UgjZ4P7cu01qQ3gCoAEC.8Gq-IrkDxuW8Gq633DhxLq,iq0yOkj3d28,UgjZ4P7cu01qQ3gCoAEC,train,"yang percaya bumi itu datar putus sekolah aja Sono gak ada teori yang nyambung sama sekali sama teori bumi itu datar example ""kenapa kita  kok bisa gali sedalam2nya di mana ituh hmmm....masa kamu gali bumi sedikit aja langsung lobang?? soalnya kalo datar = tipis kalo gak tipis gimana bisa DATAR nantikan malah jadi TABUNG. JIKA ORANG2 BERPIKIR BUMI ITU DATAR MAKA MEREKA SAMA AJA NGULANGI BUMI INI DARI JAMAN PRAAKSARA!!!! #yangcapslockmasihmungkin",Question,,,,,,,
UgyYSe4YpWTZ_49KS_x4AaABAg,QK01ROEqJ1A,TOP_LEVEL,train,"Keren yah manusia bisa tau ada berjelimet jenis galaksi dan luasnya galaksi, tapi belum bisa meneliti 100 persen tahu tentang bumi itu senditi... Pppfftttt contohnya kedalaman laut....",Disagreement,,,,,,,
UgxTGz4uW8nrFRJFV2N4AaABAg.8y7SogCQmXx9Ducd7NrEQf,NVDIHTGVcLc,UgxTGz4uW8nrFRJFV2N4AaABAg,val,"@bayboygaming4260 tau toleransi gak sih? Saling menghargai donk satu sama lain, gw jg islam",Agreement,,,,,,,
UgwOTGBhF_fJiqqwdfB4AaABAg,impJiSfof9E,TOP_LEVEL,train,Itu gerehana matahari,Opinion,,,,,,,
Ugi7BpL4L_k_pHgCoAEC.8SQScHFQU_59AaHIjMaPqO,NVDIHTGVcLc,Ugi7BpL4L_k_pHgCoAEC,val,@icezidane lah elu cuma video konspirasi dipercaya😂😂😂,Opinion,,,,,,,
Ugwn5GL--Rplirk8hUF4AaABAg,dghOCZmSEUQ,TOP_LEVEL,train,Min apa sih dlmnya lubang hitam,Opinion,,,,,,,
UgweZMNeswYNs-bvwuN4AaABAg,impJiSfof9E,TOP_LEVEL,train,Terus kalo bumi kesedot sama black hole bakal gimana?,Agreement,,,,,,,
UgyvsAgvyFvayUEjD654AaABAg,zbSe0xE7tg0,TOP_LEVEL,val,kenapa sih pas kelar kencing kepala kayak geleng2??,Question,,,,,,,
UghruGXIKJtD13gCoAEC.8OUA70acXzf9TpW9j4pKMJ,NVDIHTGVcLc,UghruGXIKJtD13gCoAEC,val,betul,Agreement,,,,,,,
Ugwuiui2WVLat5xjqvV4AaABAg,Beod6J0genE,TOP_LEVEL,val,"Seruuu banget ni kalo pembawaan videonya kayak ginii. Jadi lebih menarik wkwk. Menurutku bakal lebih bagus kalo ada sisi cinematicnya sih, kayak video hujan berlian di channel """"Inspiratips"""" misalnya Semangat bang!!",Praise,,,,,,,
UgzZmf1nyX2zDH6kN7p4AaABAg,QK01ROEqJ1A,TOP_LEVEL,train,"07:49 Gw seneng dengar yang bagian ini. Membuat gw sadar kalau kita semua ini hidup di satu planet walau pun di berbeda-beda tempat .Bumi ini tempat kita semua tinggal  . . . . Kalau saja semua orang - orang sadar akan hal ini mungkin kita bisa hidup dengan baik dengan mengerti semua hal yang ada di muka bumi ini dan menghargai semuanya walaupun berbeda pemikiran,pendapat,dan lain-lain",Suggestion,,,,,,,
UgiBhoINWKXnI3gCoAEC,iyJeozHhvJI,TOP_LEVEL,train,yg bikin bulan bukannya Rikudou Sennin pas segel Juubi ya?,Question,,,,,,,
UgwOV8E8acZWPX1_1Rt4AaABAg,qis44fqpuAU,TOP_LEVEL,train,Kembali ke masa lalu..,Opinion,,,,,,,
UgzzJXMnczCyPkV90wd4AaABAg.9KeIGyekg6_9LQ6O5y0hGR,QK01ROEqJ1A,UgzzJXMnczCyPkV90wd4AaABAg,train,Kalo di surga tuh gk bakal kepikiran masalah itu karena betapa indahnya surga,Opinion,,,,,,,
UgzlBtWt4bl6FXtntdd4AaABAg,21seK8tKSYI,TOP_LEVEL,test,Bumi datar,Opinion,,,,,,,
Ugw_LQ-btJdFlnwSvC94AaABAg.9b-fIAWVCJA9b2Xad84DCo,Beod6J0genE,Ugw_LQ-btJdFlnwSvC94AaABAg,val,Adalah gwej,Opinion,,,,,,,
UgzjAXR9i6inrd08A_h4AaABAg.9LY2aJthJ3E9LsZ3V8RuMj,21seK8tKSYI,UgzjAXR9i6inrd08A_h4AaABAg,test,@Kardus Susu cari videonya oon,Opinion,,,,,,,
UgwipUOglRN9ZfPxGIJ4AaABAg,5_9wU8yJZ8w,TOP_LEVEL,val,min kenapa beli iphone hari datang pagi2 bahkan sampai nginap emang selaku itu iphone di indonesia?,Question,,,,,,,
UgjYIAIqzBFW_XgCoAEC.8RY7PPYkj-28RYGTtSTMpY,YljSXjd4lnk,UgjYIAIqzBFW_XgCoAEC,train,Bintang Akbar karena gaya archimedes atau dapat di bilang daya apung,Opinion,,,,,,,
UgiUf6Y6aWYB5ngCoAEC,FjFsx6iQE3Y,TOP_LEVEL,train,baca Al-Qur'an aja min,Opinion,,,,,,,
UgzQQbb34MYH5WqQnvd4AaABAg,QK01ROEqJ1A,TOP_LEVEL,train,Merinding 😫,Opinion,,,,,,,
Ugzp-WiRuRAXrRXhjhJ4AaABAg.9KkXNfqr48P9LD1N7fZtrP,21seK8tKSYI,Ugzp-WiRuRAXrRXhjhJ4AaABAg,test,"Iya bumi itu mitos, Bumi itu, cgi palsu kita sebenarnya tinggal di cangkang kura kura yang barusan jatuh kena tanah lalu kura nya mati sehingga banyak tanah tanah lalu kita bakteri bakteri hidup di cangkang kura kura ini berdasarkan teori nessie HD Judge reomit",Correction,,,,,,,
UgiNiQ53PXjyW3gCoAEC,NVDIHTGVcLc,TOP_LEVEL,val,ada berapa galaxy diluar angkasa?,Question,,,,,,,
