comment_id,video_id,text,discourse_label,confidence,annotation_pass,source,like_count,published_at,parent_id,author_name
Ugj18VZSUnKPYXgCoAEC.8OvxtXFkvs48U-u1dj8l2B,JRJ1ngbUe6A,"pada bct aja , inti nya sampe skrng blom ada yg berhasil tembus ke luar angkasa , lu liat video nya aja video hoax smua , settingan, edited ,",Disagreement,High,dual_pass_verified,ai_assisted_dual_pass,1,2017-06-19T22:09:36Z,Ugj18VZSUnKPYXgCoAEC,@Fradooo
UgwF0FpExiX1rMrD8MF4AaABAg,QK01ROEqJ1A,Gua mah pernah pergi ke cosmic web bro,Experience,High,dual_pass_verified,ai_assisted_dual_pass,0,2019-09-07T08:37:09Z,,@papconkmahotra1362
Ugjs5PD2LG_jj3gCoAEC,iq0yOkj3d28,kalau ada fakta bumi datar aku tdk setuju! karena kalau kita ada di tepi pantai maka kalau bumi datar pulau atau benua seberang akan terlihat dong..,Agreement,High,dual_pass_verified,ai_assisted_dual_pass,20,2017-01-02T02:26:00Z,,@MelodicVal
UgwmNE2d1UhnXKdh9qJ4AaABAg,qis44fqpuAU,"banyak kok buku novel, film dll yang ngambil tema ""Mesin Waktu""
dan kebanyakan ending nya pada gk bagus dan menyesal sudah ngubah masa lalu dan masa depan mereka sendiri (Tokoh Protagonis)
#guekalemkok
#guetaucumaandaikan
#sans",Praise,High,dual_pass_verified,ai_assisted_dual_pass,0,2018-08-05T09:39:25Z,,@ariaa6892
UgyvkzAqLCTJyCJ2MnR4AaABAg,5Zi4qGpGop4,Animasinya makin hari jadi makin bagus..hope you always gave education,Praise,High,dual_pass_verified,ai_assisted_dual_pass,1,2019-08-03T14:20:11Z,,@bahrulilmi2615
UghF29du3VudfngCoAEC,FjFsx6iQE3Y,"00:35 Mohon izin sedikit koreksi. Ejaan yang lebih tepat adalah ""di mana"", bukan ""dimana"". Kata ""di"" dan ""mana"" seharusnya dipisah. Mohon maaf jika kurang berkenan.",Correction,High,dual_pass_verified,ai_assisted_dual_pass,0,2015-12-26T05:53:27Z,,@tengnang
UgicP6kdcoRLengCoAEC.8Ase5nbwJqW8BGW8CAZbAy,H_5TPzquRyo,"Mungkin... Mungkin Teori Evolusi sudah lolos beberapa percobaan atau juga beberapa kali mengkonfirmasi keberadaannya sendiri. tetapi faktanya teori ini juga masih memiliki beberapa bantahan yang sampai saat ini belum bisa dilewati. statement 'missing link' mungkin dianggap satu serpihan kecil, serpihan kecil dari jutaan bukti adanya keberadaan proses evolusi dan jutaan bukti 'pertanyaan' yang menjadi bantahan Teori Evolusi Darwin itu sendiri.",Opinion,Medium,dual_pass_verified,ai_assisted_dual_pass,2,2016-03-11T03:02:39Z,UgicP6kdcoRLengCoAEC,@Bang_Sans13
Ugw-BUwv7CS9oq1YICR4AaABAg,QK01ROEqJ1A,"haduh gw miris sm yg komentar 'sok tau lu' 'tau darimana lu min?'
di bawah ini
gw bukan orang pinter, tapi gw bisa baca
baca yg bener anjir pinnan miminnya! ya pake alat2 ilmuan dan hitungan matematika tentang cahayalah pasti yg kyk gini! lu pikir nebak2 capcipcup tuh ilmuan belajar bertaun2!
blm pernah gw liat komentar sebodoh orang2 ini -_-",Experience,High,dual_pass_verified,ai_assisted_dual_pass,3,2022-03-04T08:58:05Z,,@ChocoGyunyu
Ugw_LQ-btJdFlnwSvC94AaABAg.9b-fIAWVCJA9b0YpA8-KoT,Beod6J0genE,@parkxjonggun SEKARANG JADI PENJUAL MAKANAN BASI SAMA SAMA BANGKAI HEWAN YAH,Opinion,Medium,dual_pass_verified,ai_assisted_dual_pass,0,2022-05-14T17:55:09Z,Ugw_LQ-btJdFlnwSvC94AaABAg,@mencretdikit5789
Ugh9QJ841-PJ2ngCoAEC,eXml_nlmPoE,min jangan bakso melulu dong tahu bulat kek :v,Opinion,Medium,dual_pass_verified,ai_assisted_dual_pass,0,2016-07-10T14:46:53Z,,@sahrulfillah6587
Ugw_zT49WpZTTe-ya1l4AaABAg.9JYvgVMR8lr9LNzzWfWE5C,T9ttUfGG7EE,Akibat menonton terlalu banyak film bahkan film Apollo 18 dianggap nyata,Opinion,Medium,dual_pass_verified,ai_assisted_dual_pass,0,2021-03-27T07:30:03Z,Ugw_zT49WpZTTe-ya1l4AaABAg,@emeraldaxx8631
UgjP1UFQEuT68HgCoAEC.8FhVleCYil28FjMZo_ZZ0m,NVDIHTGVcLc,"gravitasi menarik benda menuju titik gravitasi
gravitasi terdapat di inti planet ( dibawah )",Opinion,Medium,dual_pass_verified,ai_assisted_dual_pass,0,2016-06-30T03:21:50Z,UgjP1UFQEuT68HgCoAEC,@hanyalewat5964
Uggumt26XhW2lngCoAEC.8TDvPOE0CPc8TEvCQ5vKOp,iyJeozHhvJI,Strandjunge kan kehalang rumah kita,Opinion,Medium,dual_pass_verified,ai_assisted_dual_pass,0,2017-05-31T21:37:02Z,Uggumt26XhW2lngCoAEC,@baihaqi_josss
