comment_id,video_id,parent_id,text,predicted_discourse_act,gold_label,off_topic_flag,annotation_notes
UgzamVd5onNaxLKHlVN4AaABAg,qis44fqpuAU,TOP_LEVEL,"Karena banyak perdebatan pendapat, bawa setumpuk pertanyaan terus balik ke zaman Rasulullah dan klarifikasi..
Dan maju ke masa depan utk lihat berita apa aja dan balik masa hidup buat ngasih peringatan.. ????",Opinion,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
UgwhPzLUVb4n1NmmavR4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Maha besar Allah ,, makanya jd manusia jgn ada yg sombong ye.. Wkwkwkwkwk...",Opinion,Opinion,NO,A1=Opinion; A2=Suggestion. Adjudicated as Opinion based on the dominant communicative function.
UgzGtLpQqxi2gv3rvZZ4AaABAg,FjFsx6iQE3Y,TOP_LEVEL,Vidieonya menambah pengetahuan,Opinion,Praise,NO,
Ugx9ccFkzFsBiNzrsvV4AaABAg.8e7JfDKRT688e7niyAJqOh,21seK8tKSYI,Ugx9ccFkzFsBiNzrsvV4AaABAg,pls bilang ada orang yang ngerti comment gua.,Opinion,Opinion,NO,
UgxHrb4mQojEq7s9DWh4AaABAg,T9ttUfGG7EE,TOP_LEVEL,Bruh bumi aja belom kejelajah semua,Opinion,Opinion,NO,
UgyIKpxQHFZ1TACEREx4AaABAg.8jTpgdwdV0d8jTysYj7ZwJ,qis44fqpuAU,UgyIKpxQHFZ1TACEREx4AaABAg,"Kalo perbaiki masalah kamu,pasti kamu tidak akan bisa mempelajari kesalahan tersebut.ya kalau itu tujuan mu ok lah :)",Opinion,Opinion,NO,A1=Opinion; A2=Disagreement. Adjudicated as Opinion based on the dominant communicative function.
Ugj-b8D5nCMutXgCoAEC.8KFGewR6u748WwTkTj_dee,NVDIHTGVcLc,Ugj-b8D5nCMutXgCoAEC,Slamet Awaluddin pake pintu kemana saja,Opinion,Suggestion,NO,A1=Suggestion; A2=Opinion. Adjudicated as Suggestion based on the dominant communicative function.
UgzeKdq_qIl7J3BkWu94AaABAg.9P42YqiNOmt9PeLRXbHnyz,H_5TPzquRyo,UgzeKdq_qIl7J3BkWu94AaABAg,"@kynnnnniiiii Saya tidak mau debat lagi .. terserah anda mau dari keturunan kera ka..ikan ka..,saya cukup beramal -mati- masuk surga ...",Opinion,Disagreement,NO,
UggMkFyEHU3WuHgCoAEC,NVDIHTGVcLc,TOP_LEVEL,Min bagaimna terbentuknya hilal,Opinion,Question,NO,A1=Question; A2=Opinion. Adjudicated as Question based on the dominant communicative function.
UgxO-kPKZRQ61lRYP4d4AaABAg.9UpN2zi2bk19V7_4ulNlGJ,21seK8tKSYI,UgxO-kPKZRQ61lRYP4d4AaABAg,Fe itu artinya flat earthers artinya orang-orang yang mempercayai bumi itu datar,Opinion,Opinion,NO,A1=Opinion; A2=Correction. Adjudicated as Opinion based on the dominant communicative function.
Ugivi-n4aGyEcngCoAEC.8KCkLKWqY2r8zZuwprz6Ke,NVDIHTGVcLc,Ugivi-n4aGyEcngCoAEC,Buang aja sampahnya ke kawah gunung merapi yang ada lavanya,Opinion,Suggestion,NO,A1=Suggestion; A2=Opinion. Adjudicated as Suggestion based on the dominant communicative function.
UgwKO_ZFXEZ0bmWNiPJ4AaABAg.9J_VNXFPaxI9JbVRl9GnPA,T8g_hUpx9VU,UgwKO_ZFXEZ0bmWNiPJ4AaABAg,"Benda terdingin, sebelum terjadinya bigbang/sebelum big bang tercipta selama 1 hari??",Opinion,Question,NO,
Ugytx9vAuJSUk1iXMcB4AaABAg,dghOCZmSEUQ,TOP_LEVEL,Biar Flatter pada mikir....,Opinion,Opinion,NO,
UggwzdFegZwjbngCoAEC.8MmAkyDZwbD9KZcvUJrOBc,uA3cMFjqfaM,UggwzdFegZwjbngCoAEC,Hey mahluk mars,Opinion,Opinion,NO,
