video_id,title,thumbnail_url
qis44fqpuAU,"Jika Ada Mesin Waktu, Apa Yang Ingin Kalian Lakukan? (Diskusi)",https://i.ytimg.com/vi/qis44fqpuAU/maxresdefault.jpg
uA3cMFjqfaM,Bisakah Kita Membangun Koloni di Mars?,https://i.ytimg.com/vi/uA3cMFjqfaM/maxresdefault.jpg
PEbhbW4rgy4,Apa Yang Akan Terjadi Jika Matahari Tiba Tiba Lenyap?,https://i.ytimg.com/vi/PEbhbW4rgy4/maxresdefault.jpg
RBFhyVux3IE,Apakah Flash Disk Makin Berat Ketika Diisi Data?,https://i.ytimg.com/vi/RBFhyVux3IE/maxresdefault.jpg
NVDIHTGVcLc,Seberapa Tinggi Kita Bisa Mendirikan Bangunan?,https://i.ytimg.com/vi/NVDIHTGVcLc/maxresdefault.jpg
QK01ROEqJ1A,Apakah Ada Ujung Alam Semesta?,https://i.ytimg.com/vi/QK01ROEqJ1A/maxresdefault.jpg
6ceW7ugIKMs,Bagaimana Gerhana Matahari Bisa Terjadi?,https://i.ytimg.com/vi/6ceW7ugIKMs/maxresdefault.jpg
rloh5wZxFrU,Seberapa Jauh Bumi dan Matahari?,https://i.ytimg.com/vi/rloh5wZxFrU/hqdefault.jpg
0QCq6GPY8kQ,Bagaimana Kapal Berat Dapat Terapung?,https://i.ytimg.com/vi/0QCq6GPY8kQ/maxresdefault.jpg
T8g_hUpx9VU,Apa Benda Paling Panas Sejagat Raya?,https://i.ytimg.com/vi/T8g_hUpx9VU/maxresdefault.jpg
FMNRItiR6ZA,Kenapa Pluto Tidak Lagi Dianggap Sebagai Planet?,https://i.ytimg.com/vi/FMNRItiR6ZA/maxresdefault.jpg
YxgOhIQJX3Q,Bisakah Pesawat Terbang ke Luar Angkasa?,https://i.ytimg.com/vi/YxgOhIQJX3Q/maxresdefault.jpg
t5SaFgSaM_M,Seberapa Perlu Kita Mencari ‘Bumi’ Baru?,https://i.ytimg.com/vi/t5SaFgSaM_M/maxresdefault.jpg
eXml_nlmPoE,"Kenapa Bumi Bulat, Ngga Kotak?",https://i.ytimg.com/vi/eXml_nlmPoE/maxresdefault.jpg
iq0yOkj3d28,"Kenapa Bagi Kita, Bumi Terlihat Datar?",https://i.ytimg.com/vi/iq0yOkj3d28/maxresdefault.jpg
T9ttUfGG7EE,Benarkah Manusia Pernah Mendarat di Bulan?,https://i.ytimg.com/vi/T9ttUfGG7EE/maxresdefault.jpg
impJiSfof9E,BREAKING NEWS: Foto Black Hole Pertama Dalam Sejarah,https://i.ytimg.com/vi/impJiSfof9E/maxresdefault.jpg
5_9wU8yJZ8w,Apakah Pesawat Sering Menabrak Burung Di Langit?,https://i.ytimg.com/vi/5_9wU8yJZ8w/hqdefault.jpg
AxyPASIXz1k,Apakah Ada yang Lebih Kecil dari Atom?,https://i.ytimg.com/vi/AxyPASIXz1k/maxresdefault.jpg
21seK8tKSYI,Apa Jadinya Jika Bumi Datar?,https://i.ytimg.com/vi/21seK8tKSYI/maxresdefault.jpg
dghOCZmSEUQ,Kenapa Luar Angkasa Gelap?,https://i.ytimg.com/vi/dghOCZmSEUQ/maxresdefault.jpg
Beod6J0genE,Di Sinilah Tempat di Bumi yang ‘Tanpa’ Gravitasi,https://i.ytimg.com/vi/Beod6J0genE/maxresdefault.jpg
5Zi4qGpGop4,Dari Mana Bulan Kita Berasal?,https://i.ytimg.com/vi/5Zi4qGpGop4/maxresdefault.jpg
jPyd0Xv5LfY,Misteri Besar Sepeda yang Belum Terpecahkan,https://i.ytimg.com/vi/jPyd0Xv5LfY/maxresdefault.jpg
zbSe0xE7tg0,Apakah Manusia Bisa Hidup di Luar Angkasa?,https://i.ytimg.com/vi/zbSe0xE7tg0/maxresdefault.jpg
FjFsx6iQE3Y,Apakah Ada Kehidupan Lain di Luar Bumi?,https://i.ytimg.com/vi/FjFsx6iQE3Y/maxresdefault.jpg
rha05J96bOM,Seberapa Besar Bintang Bisa Terbentuk?,https://i.ytimg.com/vi/rha05J96bOM/maxresdefault.jpg
FGdLT8UuBZI,Apa Itu Gerhana Bulan Raksasa (Supermoon)?,https://i.ytimg.com/vi/FGdLT8UuBZI/maxresdefault.jpg
2EVv7dmTFik,Bagaimana Matahari Terbakar Tanpa Oksigen di Luar Angkasa?,https://i.ytimg.com/vi/2EVv7dmTFik/maxresdefault.jpg
YljSXjd4lnk,Kenapa Pesawat Bisa Terbang?,https://i.ytimg.com/vi/YljSXjd4lnk/maxresdefault.jpg
Tx87wEaDtxo,Apa Itu Black Hole Sebenarnya?,https://i.ytimg.com/vi/Tx87wEaDtxo/maxresdefault.jpg
iyJeozHhvJI,Apa Yang Terjadi Jika Bulan Lenyap?,https://i.ytimg.com/vi/iyJeozHhvJI/maxresdefault.jpg
twXOQyxZWxY,Benarkah Ngelipat Kertas Bisa Ngebawa Kita Sampai ke Bulan?,https://i.ytimg.com/vi/twXOQyxZWxY/maxresdefault.jpg
H_5TPzquRyo,"Apakah Teori Gravitasi dan Evolusi Hanya Sebuah ""Teori""? (Ft. Sainsbro)",https://i.ytimg.com/vi/H_5TPzquRyo/maxresdefault.jpg
JRJ1ngbUe6A,Bagaimana Satelit Bisa Melayang Dan Tak Jatuh Dari Langit? (Ft. Telkom Indonesia),https://i.ytimg.com/vi/JRJ1ngbUe6A/maxresdefault.jpg
