video_id,title,channel_title,channel_id,published_at,view_count,like_count_video,comment_count_yt,thumbnail_url,youtube_url,embed_url
qis44fqpuAU,"Jika Ada Mesin Waktu, Apa Yang Ingin Kalian Lakukan? (Diskusi)",Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-08-02T14:39:17Z,284896,7884,8586,https://i.ytimg.com/vi/qis44fqpuAU/maxresdefault.jpg,https://www.youtube.com/watch?v=qis44fqpuAU,https://www.youtube.com/embed/qis44fqpuAU
uA3cMFjqfaM,Bisakah Kita Membangun Koloni di Mars?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-12-21T14:11:52Z,1718138,36515,4612,https://i.ytimg.com/vi/uA3cMFjqfaM/maxresdefault.jpg,https://www.youtube.com/watch?v=uA3cMFjqfaM,https://www.youtube.com/embed/uA3cMFjqfaM
PEbhbW4rgy4,Apa Yang Akan Terjadi Jika Matahari Tiba Tiba Lenyap?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-04-13T04:03:57Z,1375067,28258,2889,https://i.ytimg.com/vi/PEbhbW4rgy4/maxresdefault.jpg,https://www.youtube.com/watch?v=PEbhbW4rgy4,https://www.youtube.com/embed/PEbhbW4rgy4
RBFhyVux3IE,Apakah Flash Disk Makin Berat Ketika Diisi Data?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-12-09T15:32:53Z,332167,12004,1177,https://i.ytimg.com/vi/RBFhyVux3IE/maxresdefault.jpg,https://www.youtube.com/watch?v=RBFhyVux3IE,https://www.youtube.com/embed/RBFhyVux3IE
NVDIHTGVcLc,Seberapa Tinggi Kita Bisa Mendirikan Bangunan?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-06-26T16:13:38Z,4319694,67636,5391,https://i.ytimg.com/vi/NVDIHTGVcLc/maxresdefault.jpg,https://www.youtube.com/watch?v=NVDIHTGVcLc,https://www.youtube.com/embed/NVDIHTGVcLc
QK01ROEqJ1A,Apakah Ada Ujung Alam Semesta?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2019-09-03T07:38:48Z,16091885,436750,51470,https://i.ytimg.com/vi/QK01ROEqJ1A/maxresdefault.jpg,https://www.youtube.com/watch?v=QK01ROEqJ1A,https://www.youtube.com/embed/QK01ROEqJ1A
6ceW7ugIKMs,Bagaimana Gerhana Matahari Bisa Terjadi?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-03-02T09:51:28Z,763018,10070,1822,https://i.ytimg.com/vi/6ceW7ugIKMs/maxresdefault.jpg,https://www.youtube.com/watch?v=6ceW7ugIKMs,https://www.youtube.com/embed/6ceW7ugIKMs
rloh5wZxFrU,Seberapa Jauh Bumi dan Matahari?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2019-01-20T11:04:50Z,692354,18567,1950,https://i.ytimg.com/vi/rloh5wZxFrU/sddefault.jpg,https://www.youtube.com/watch?v=rloh5wZxFrU,https://www.youtube.com/embed/rloh5wZxFrU
0QCq6GPY8kQ,Bagaimana Kapal Berat Dapat Terapung?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-03-08T07:15:24Z,3295730,41130,2678,https://i.ytimg.com/vi/0QCq6GPY8kQ/maxresdefault.jpg,https://www.youtube.com/watch?v=0QCq6GPY8kQ,https://www.youtube.com/embed/0QCq6GPY8kQ
T8g_hUpx9VU,Apa Benda Paling Panas Sejagat Raya?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2021-02-10T10:55:36Z,1000172,36231,3759,https://i.ytimg.com/vi/T8g_hUpx9VU/maxresdefault.jpg,https://www.youtube.com/watch?v=T8g_hUpx9VU,https://www.youtube.com/embed/T8g_hUpx9VU
FMNRItiR6ZA,Kenapa Pluto Tidak Lagi Dianggap Sebagai Planet?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-06-02T07:00:01Z,3985052,73143,4752,https://i.ytimg.com/vi/FMNRItiR6ZA/maxresdefault.jpg,https://www.youtube.com/watch?v=FMNRItiR6ZA,https://www.youtube.com/embed/FMNRItiR6ZA
YxgOhIQJX3Q,Bisakah Pesawat Terbang ke Luar Angkasa?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-09-06T14:03:14Z,1509732,26229,2361,https://i.ytimg.com/vi/YxgOhIQJX3Q/maxresdefault.jpg,https://www.youtube.com/watch?v=YxgOhIQJX3Q,https://www.youtube.com/embed/YxgOhIQJX3Q
t5SaFgSaM_M,Seberapa Perlu Kita Mencari ‘Bumi’ Baru?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2019-07-22T12:05:20Z,1106786,44388,5012,https://i.ytimg.com/vi/t5SaFgSaM_M/maxresdefault.jpg,https://www.youtube.com/watch?v=t5SaFgSaM_M,https://www.youtube.com/embed/t5SaFgSaM_M
eXml_nlmPoE,"Kenapa Bumi Bulat, Ngga Kotak?",Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2015-06-27T06:34:13Z,870235,15920,2537,https://i.ytimg.com/vi/eXml_nlmPoE/maxresdefault.jpg,https://www.youtube.com/watch?v=eXml_nlmPoE,https://www.youtube.com/embed/eXml_nlmPoE
iq0yOkj3d28,"Kenapa Bagi Kita, Bumi Terlihat Datar?",Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-07-27T03:37:32Z,1158904,25394,7466,https://i.ytimg.com/vi/iq0yOkj3d28/maxresdefault.jpg,https://www.youtube.com/watch?v=iq0yOkj3d28,https://www.youtube.com/embed/iq0yOkj3d28
T9ttUfGG7EE,Benarkah Manusia Pernah Mendarat di Bulan?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-07-22T04:00:00Z,1733192,44119,7339,https://i.ytimg.com/vi/T9ttUfGG7EE/maxresdefault.jpg,https://www.youtube.com/watch?v=T9ttUfGG7EE,https://www.youtube.com/embed/T9ttUfGG7EE
impJiSfof9E,BREAKING NEWS: Foto Black Hole Pertama Dalam Sejarah,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2019-04-12T04:00:11Z,2850803,98692,7035,https://i.ytimg.com/vi/impJiSfof9E/maxresdefault.jpg,https://www.youtube.com/watch?v=impJiSfof9E,https://www.youtube.com/embed/impJiSfof9E
5_9wU8yJZ8w,Apakah Pesawat Sering Menabrak Burung Di Langit?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-12-14T08:01:54Z,594739,16661,1539,https://i.ytimg.com/vi/5_9wU8yJZ8w/sddefault.jpg,https://www.youtube.com/watch?v=5_9wU8yJZ8w,https://www.youtube.com/embed/5_9wU8yJZ8w
AxyPASIXz1k,Apakah Ada yang Lebih Kecil dari Atom?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2021-04-07T13:42:57Z,4449621,122827,7853,https://i.ytimg.com/vi/AxyPASIXz1k/maxresdefault.jpg,https://www.youtube.com/watch?v=AxyPASIXz1k,https://www.youtube.com/embed/AxyPASIXz1k
21seK8tKSYI,Apa Jadinya Jika Bumi Datar?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-03-23T03:53:36Z,3628019,88121,26903,https://i.ytimg.com/vi/21seK8tKSYI/maxresdefault.jpg,https://www.youtube.com/watch?v=21seK8tKSYI,https://www.youtube.com/embed/21seK8tKSYI
